sample,rep,N,C,C/N
201,S1,4.313,43.843,10.1644
201,S2,4.215,44.113,10.4659
201,S3,4.192,43.792,10.4457
201,S4,4.242,43.763,10.3166
201,S5,4.187,43.821,10.4673
202,S1,4.018,42.979,10.696
202,S2,4.112,43.881,10.6716
202,S3,4.158,44.257,10.6429
202,S4,4.061,43.381,10.6826
202,S5,4.069,43.452,10.6777
203,S1,3.807,46.078,12.1039
203,S2,3.769,46.413,12.3156
203,S3,3.785,46.212,12.2102
203,S4,3.843,47.02,12.2356
203,S5,3.835,47.027,12.2618
204,S1,3.804,46.132,12.1261
204,S2,3.8,46.207,12.1592
204,S3,3.858,46.981,12.1774
204,S4,3.901,46.626,11.9513
204,S5,3.845,46.112,11.9927
205,S1,3.863,46.945,12.1508
205,S2,3.828,46.489,12.1447
205,S3,3.856,46.054,11.9444
205,S4,3.825,46.226,12.0847
205,S5,3.816,46.104,12.0813
206,S1,3.926,46.953,11.9588
206,S2,3.891,46.654,11.9896
206,S3,3.882,46.768,12.0488
206,S4,3.871,46.453,12.001
206,S5,3.9,46.252,11.86
207,S1,3.603,47.786,13.2633
207,S2,3.714,48.06,12.9394
207,S3,3.653,48.395,13.2475
208,S1,3.167,42.941,13.5609
208,S2,3.075,41.899,13.6243
208,S3,3.145,42.925,13.6468
208,S4,3.057,42.078,13.7659
208,S5,3.115,41.866,13.4382
209,S1,2.979,41.672,13.9884
209,S2,2.945,41.246,14.0067
209,S3,2.921,40.214,13.7648
209,S4,2.967,41.119,13.8582
209,S5,2.96,40.759,13.7678
210,S1,2.843,39.562,13.9172
210,S2,2.85,39.863,13.9866
210,S3,2.859,39.81,13.9227
210,S4,2.946,40.123,13.6218
210,S5,2.912,40.112,13.7732
211,S1,2.593,40.031,15.4391
211,S2,2.618,40.064,15.3033
211,S3,2.642,39.385,14.9055
211,S4,2.583,39.926,15.4591
211,S5,2.597,39.713,15.289
212,S1,2.265,29.756,13.1383
212,S2,3.968,53.43,13.4651
212,S3,3.037,40.199,13.2352
212,S4,3.049,39.974,13.1103
212,S5,3.125,39.997,12.7995
213,S1,3.456,37.1,10.736
213,S2,3.313,37.362,11.2762
213,S3,3.273,36.509,11.1561
213,S4,3.376,37.382,11.0722
213,S5,3.238,36.392,11.2389
214,S1,3.276,37.0,11.2932
214,S2,3.218,36.4,11.3104
214,S3,3.27,36.748,11.2372
214,S4,3.237,36.545,11.2886
214,S5,3.219,36.533,11.3497
215,S1,3.335,39.225,11.7623
215,S2,3.267,38.354,11.7409
215,S3,3.403,39.878,11.7199
215,S4,3.304,38.998,11.8021
215,S5,3.556,41.498,11.6695
216,S1,3.288,39.076,11.883
216,S2,3.354,39.794,11.8659
216,S3,3.343,39.644,11.8573
216,S4,3.316,39.412,11.8857
216,S5,3.386,39.834,11.7643
217,S1,2.704,39.924,14.7673
217,S2,2.711,39.572,14.599
217,S3,2.658,39.363,14.8097
217,S4,2.592,38.846,14.9859
217,S5,2.665,39.114,14.6762
218,S1,2.633,39.081,14.8418
218,S2,2.65,39.351,14.8474
218,S3,2.725,40.024,14.6888
218,S4,2.672,39.6,14.8197
218,S5,2.649,39.226,14.8084
219,S1,2.655,39.112,14.7288
219,S2,2.637,39.882,15.1249
219,S3,2.645,39.456,14.9146
219,S4,2.623,39.207,14.9454
219,S5,2.647,39.542,14.9405
220,S1,2.586,38.687,14.9574
220,S2,2.632,39.314,14.9355
220,S3,2.699,39.515,14.638
220,S4,2.682,39.729,14.8109
220,S5,2.69,39.217,14.5783
221,S1,3.087,42.901,13.899
221,S2,3.048,42.618,13.9831
221,S3,3.028,41.821,13.8099
221,S4,2.937,41.325,14.0693
221,S5,2.969,41.568,13.9999
222,S1,3.186,45.203,14.1863
222,S2,3.184,45.038,14.1457
222,S3,3.176,44.868,14.1288
222,S4,3.212,45.491,14.1616
222,S5,3.069,43.554,14.1899
223,S1,3.164,45.126,14.2641
223,S2,3.181,45.128,14.1877
223,S3,3.241,46.069,14.2138
223,S4,3.218,45.636,14.1801
223,S5,3.172,45.319,14.2887
224,S1,2.343,42.696,18.222
224,S2,2.366,42.876,18.1228
224,S3,2.351,42.93,18.2618
224,S4,2.414,43.931,18.1979
224,S5,2.339,42.88,18.3309
225,S1,2.362,43.459,18.3995
225,S2,2.44,44.266,18.1387
225,S3,2.378,43.162,18.1496
225,S4,2.354,43.007,18.2665
225,S5,2.354,42.729,18.1544
226,S1,3.154,45.456,14.4108
226,S2,3.196,45.675,14.2933
226,S3,3.206,45.467,14.1798
226,S4,3.182,45.362,14.2538
226,S5,3.186,45.562,14.302
227,S1,2.348,42.467,18.0856
227,S2,2.358,43.07,18.2654
227,S3,2.368,42.811,18.0764
227,S4,2.355,42.743,18.1537
227,S5,2.382,43.211,18.1405
228,S1,4.124,40.439,9.8056
228,S2,4.197,40.964,9.7592
228,S3,3.63,35.469,9.7723
228,S4,4.776,46.875,9.8156
228,S5,4.144,40.636,9.8064
229,S1,3.849,41.049,10.6643
229,S2,3.8,40.44,10.6432
229,S3,3.846,40.846,10.6197
229,S4,3.833,40.494,10.5645
229,S5,3.847,41.083,10.6797
230,S1,3.819,40.847,10.6947
230,S2,3.813,40.499,10.621
230,S3,3.796,40.765,10.7398
230,S4,3.753,40.253,10.7259
230,S5,3.835,40.621,10.5912
231,S1,2.709,40.317,14.8801
231,S2,2.66,40.275,15.1403
231,S3,2.685,40.364,15.0356
231,S4,2.69,39.991,14.8639
231,S5,2.718,40.584,14.931
232,S1,2.702,40.227,14.8907
232,S2,2.696,40.326,14.9554
232,S3,2.695,40.222,14.9269
232,S4,2.675,40.255,15.0492
232,S5,2.692,40.294,14.9662
233,S1,2.18,40.491,18.5727
233,S2,2.203,40.382,18.327
233,S3,2.154,40.547,18.8273
233,S4,2.182,40.267,18.4507
233,S5,2.185,40.71,18.6345
234,S1,2.192,40.609,18.522
234,S2,2.211,40.793,18.4504
234,S3,2.187,40.442,18.4916
234,S4,2.218,40.447,18.2354
234,S5,2.135,39.34,18.428
235,S1,2.146,39.101,18.2204
235,S2,2.193,40.581,18.5085
235,S3,2.196,40.662,18.5136
235,S4,2.163,40.105,18.5395
235,S5,2.188,40.746,18.6226
236,S1,2.167,40.608,18.7397
236,S2,2.199,40.237,18.2994
236,S3,2.181,40.487,18.5648
236,S4,2.18,40.71,18.6735
236,S5,2.216,40.828,18.4272
237,S1,1.809,41.013,22.6739
237,S2,1.775,40.954,23.0684
237,S3,1.779,40.834,22.9469
237,S4,1.77,41.15,23.2523
237,S5,1.769,40.697,23.0019
238,S1,1.562,41.338,26.4698
238,S2,1.552,41.709,26.8779
238,S3,1.543,41.332,26.7832
238,S4,1.681,42.367,25.2051
