id,sample,rep
1,201,0
2,201,2
3,201,3
4,201,1
5,202,0
6,202,1
7,202,2
8,203,0
9,203,1
10,203,2
11,204,0
12,204,1
13,204,2
14,205,0
15,205,1
16,205,2
17,206,0
18,206,1
19,206,2
20,207,0
21,207,1
22,207,2
23,208,0
24,208,1
25,208,2
26,209,0
27,209,1
28,209,2
29,210,0
30,210,1
31,210,2
32,211,0
33,211,1
34,211,2
35,211,3
36,212,0
37,212,1
38,212,2
39,213,0
40,213,1
41,213,2
42,214,0
43,214,1
44,214,2
45,214,3
46,215,0
47,215,1
48,215,2
49,216,0
50,216,1
51,216,2
52,217,0
53,217,1
54,217,2
55,218,0
56,218,1
57,218,2
58,219,0
59,219,1
60,219,2
61,220,0
62,220,1
63,220,2
64,220,3
65,221,0
66,221,1
67,221,2
68,222,0
69,222,1
70,222,2
71,223,0
72,223,1
73,223,2
74,224,0
75,224,1
76,224,2
77,225,0
78,225,1
79,225,2
80,226,0
81,226,1
82,226,2
83,227,0
84,227,1
85,227,2
86,228,0
87,228,1
88,228,2
89,228,3
90,229,0
91,229,1
92,229,2
93,230,0
94,230,1
95,230,2
